$CASNumber$,$IngredientName$,$categoryCAS$,$syn_code$,$bgSource$,$prospectCAS$,$curatedCAS$,$recog_syn$,$prospect_CAS_fromIng$,$alt_CAS$,$bgCAS$,$first_date$,$change_date$,$change_comment$
$0.00003$,$3.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00005000$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00005000$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00006$,$5$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00006$,$5.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00009611$,$MISSING$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00009611$,$missing$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00012$,$10$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00012$,$10.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00015$,$13$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00015$,$13.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
