$rawName$,$cleanName$,$xlateName$,$status$,$first_date$,$change_date$,$change_comment$
$50 Mission Crane and 50 Mcallen Central$,$50 mission crane and 50 mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50% BTLT Well and 50% McAllen Central$,$50% btlt well and 50% mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50% BTLT, 50% City Water$,$50% btlt, 50% city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50% BTLT, 50% Mission City$,$50% btlt, 50% mission city$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50% McAllen Central/25% City Water/25% McAllen Ranch Well Water$,$50% mcallen central/25% city water/25% mcallen ranch well water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50% Mcallen Central 50% BTLT Water Well$,$50% mcallen central 50% btlt water well$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50% Nabors 50% Mcallen Central$,$50% nabors 50% mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$501545$,$501545$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$55 Nabors 45 McAllen Central$,$55 nabors 45 mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$5L Properties, Inc.$,$5l properties, inc.$,$5l properties$,$curated$,$d:2021-07-04$,$$,$$
$60 Nabors 40 McAllen Central$,$60 nabors 40 mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$60% McAllen Ranch, 30% City Water, 10% BTLT Water$,$60% mcallen ranch, 30% city water, 10% btlt water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$60% Nabors and 40% BTLT Pond$,$60% nabors and 40% btlt pond$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$7.44$,$7.44$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$70 Cental and 30 City water.$,$70 cental and 30 city water.$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$70 McAllen Central 30 Municipal Water$,$70 mcallen central 30 municipal water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
