$non_specific_code$,$source$
$polyanionic cellulose$,$EPA_Appendix_H_2$
$polyaromatic hydrocarbons$,$EPA_Appendix_H_2$
$polycyclic organic matter$,$EPA_Appendix_H_2$
$polyelectrolyte$,$EPA_Appendix_H_2$
$polyether polyol$,$EPA_Appendix_H_2$
$polyethoxylated alkanol$,$EPA_Appendix_H_2$
$polyethylene copolymer$,$EPA_Appendix_H_2$
$polyethylene glycols$,$EPA_Appendix_H_2$
$polyethylene wax$,$EPA_Appendix_H_2$
$polyglycerols$,$EPA_Appendix_H_2$
$polyglycol$,$EPA_Appendix_H_2$
$polyglycol ether$,$EPA_Appendix_H_2$
$polylactide resin$,$EPA_Appendix_H_2$
$polymer$,$EPA_Appendix_H_2$
$polymeric hydrocarbons$,$EPA_Appendix_H_2$
$polymerized alcohol$,$EPA_Appendix_H_2$
$polymethacrylate polymer$,$EPA_Appendix_H_2$
$polyol phosphate ester$,$EPA_Appendix_H_2$
$polyoxyalkylene phosphate$,$EPA_Appendix_H_2$
$polyoxyalkylene sulfate$,$EPA_Appendix_H_2$
$polyoxyalkylenes$,$EPA_Appendix_H_2$
$polyphenylene ether$,$EPA_Appendix_H_2$
$polyphosphate$,$EPA_Appendix_H_2$
$polypropylene glycols$,$EPA_Appendix_H_2$
$polyquaternary amine$,$EPA_Appendix_H_2$
$polysaccaride polymers in suspension$,$EPA_Appendix_H_2$
$polysaccharide$,$EPA_Appendix_H_2$
$polysaccharide blend$,$EPA_Appendix_H_2$
$polyvinylalcohol/polyvinylactetate copolymer$,$EPA_Appendix_H_2$
$potassium chloride substitute$,$EPA_Appendix_H_2$
$quarternized heterocyclic amines$,$EPA_Appendix_H_2$
$quaternary amine$,$EPA_Appendix_H_2$
$quaternary amine salt$,$EPA_Appendix_H_2$
$quaternary ammonium chloride$,$EPA_Appendix_H_2$
$quaternary ammonium compound$,$EPA_Appendix_H_2$
$quaternary ammonium salts$,$EPA_Appendix_H_2$
$quaternary compound$,$EPA_Appendix_H_2$
$quaternary salt$,$EPA_Appendix_H_2$
$quaternized alkyl nitrogenated compd$,$EPA_Appendix_H_2$
$red dye$,$EPA_Appendix_H_2$
$refined mineral oil$,$EPA_Appendix_H_2$
$resin$,$EPA_Appendix_H_2$
$salt of amine-carbonyl condensate$,$EPA_Appendix_H_2$
